City	Country
Abu Dhabi	United Arab Emirates
Abuja	Nigeria
Accra	Ghana
Adamstown	Pitcairn
Addis Ababa	Ethiopia
Algiers	Algeria
Alofi	Niue
Amman	Jordan
Amsterdam	Netherlands
Andorra la Vella	Andorra
Ankara	Turkey
Antananarivo	Madagascar
Apia	Samoa
Ashgabat	Turkmenistan
Asmara	Eritrea
Astana	Kazakhstan
Asunción	Paraguay
Athens	Greece
Avarua	Cook Islands
Baghdad	Iraq
Baku	Azerbaijan
Bamako	Mali
Bandar Seri Begawan	Brunei
Bangkok	Thailand
Bangui	Central African Republic
Banjul	Gambia
Basse-Terre	Guadeloupe
Basseterre	Saint Kitts and Nevis
Beijing	China
Beirut	Lebanon
Belgrade	Serbia
Belmopan	Belize
Berlin	Germany
Bern	Switzerland
Bishkek	Kyrgyzstan
Bissau	Guinea-Bissau
Bogotá	Colombia
Brasília	Brazil
Bratislava	Slovakia
Brazzaville	Republic of the Congo
Bridgetown	Barbados
Brussels	Belgium
Bucharest	Romania
Budapest	Hungary
Buenos Aires	Argentina
Bujumbura	Burundi
Cairo	Egypt
Canberra	Australia
Caracas	Venezuela
Castries	Saint Lucia
Cayenne	French Guiana
Charlotte Amalie	United States Virgin Islands
Chișinău	Moldova
Cockburn Town	Turks and Caicos Islands
Conakry	Guinea
Copenhagen	Denmark
Dakar	Senegal
Damascus	Syria
Dhaka	Bangladesh
Dili	East Timor (Timor-Leste)
Djibouti	Djibouti
Dodoma (official, legislative)	Tanzania
Doha	Qatar
Douglas	Isle of Man
Dublin	Ireland
Dushanbe	Tajikistan
Edinburgh of the Seven Seas	Tristan da Cunha
El Aioun (declared) Tifariti (de facto)	Sahrawi Arab Democratic Republic
Episkopi Cantonment	Akrotiri and Dhekelia
Flying Fish Cove	Christmas Island
Fort-de-France	Martinique
Freetown	Sierra Leone
Funafuti	Tuvalu
Gaborone	Botswana
George Town	Cayman Islands
Georgetown	Ascension Island
Georgetown	Guyana
Gibraltar	Gibraltar
Grozny	Chechnya
Guatemala City	Guatemala
Gustavia	Saint Barthélemy
Hagåtña	Guam
Hamilton	Bermuda
Hanga Roa	Easter Island
Hanoi	Vietnam
Harare	Zimbabwe
Hargeisa	Somaliland
Havana	Cuba
Helsinki	Finland
Hong Kong	Hong Kong
Honiara	Solomon Islands
Islamabad	Pakistan
Jakarta	Indonesia
Jamestown	Saint Helena
Jerusalem (declared, de facto)	Israel
Juba	South Sudan
Kabul	Afghanistan
Kampala	Uganda
Kathmandu	Nepal
Khartoum	Sudan
Kiev	Ukraine
Kigali	Rwanda
King Edward Point	South Georgia and the South Sandwich Islands
Kingston	Jamaica
Kingston	Norfolk Island
Kingstown	Saint Vincent and the Grenadines
Kinshasa	Democratic Republic of the Congo
Kuala Lumpur (official, legislative and royal) Putrajaya (administrative and judicial)	Malaysia
Kuwait City	Kuwait
Libreville	Gabon
Lilongwe	Malawi
Lima	Peru
Lisbon	Portugal
Ljubljana	Slovenia
Lomé	Togo
London	United Kingdom
Luanda	Angola
Lusaka	Zambia
Luxembourg	Luxembourg
Madrid	Spain
Majuro	Marshall Islands
Malabo	Equatorial Guinea
Malé	Maldives
Mamoudzou	Mayotte
Managua	Nicaragua
Manama	Bahrain
Manila	Philippines
Maputo	Mozambique
Marigot	Saint Martin
Maseru	Lesotho
Mata-Utu	Wallis and Futuna
Mbabane(administrative) Lobamba (royal and legislative)	Swaziland
Mexico City	Mexico
Minsk	Belarus
Mogadishu	Somalia
Monaco	Monaco
Monrovia	Liberia
Montevideo	Uruguay
Moroni	Comoros
Moscow	Russia
Muscat	Oman
N'Djamena	Chad
Nairobi	Kenya
Nassau	Bahamas
Naypyidaw	Myanmar
New Delhi	India
Ngerulmud	Palau
Niamey	Niger
Nicosia	Cyprus
Nicosia	Northern Cyprus
Nouakchott	Mauritania
Nouméa	New Caledonia
Nukuʻalofa	Tonga
Nuuk	Greenland
Oranjestad	Aruba
Oslo	Norway
Ottawa	Canada
Ouagadougou	Burkina Faso
Pago Pago	American Samoa
Palikir	Federated States of Micronesia
Panama City	Panama
Papeete	French Polynesia
Paramaribo	Suriname
Paris	France
Philipsburg	Sint Maarten
Phnom Penh	Cambodia
Plymouth (official) Brades Estate (de facto)	Montserrat
Podgorica (official) Cetinje (Old Royal Capital, present seat of thePresident)	Montenegro
Port Louis	Mauritius
Port Moresby	Papua New Guinea
Port of Spain	Trinidad and Tobago
Port Vila	Vanuatu
Port-au-Prince	Haiti
Porto-Novo (official) Cotonou (de facto)	Benin
Prague	Czech Republic
Praia	Cape Verde
Pretoria (executive) Bloemfontein (judicial) Cape Town (legislative)	South Africa
Pristina	Kosovo
Pyongyang	North Korea
Quito	Ecuador
Rabat	Morocco
Ramallah (de facto) Jerusalem (declared)	State of Palestine
Reykjavík	Iceland
Riga	Latvia
Riyadh	Saudi Arabia
Road Town	British Virgin Islands
Rome	Italy
Roseau	Dominica
Saint-Denis	Réunion
Saipan	Northern Mariana Islands
San José	Costa Rica
San Juan	Puerto Rico
San Marino	San Marino
San Salvador	El Salvador
Sana'a (de jure) Aden (de facto, seat of government)	Yemen
Santiago	Chile
Santo Domingo	Dominican Republic
Sarajevo	Bosnia and Herzegovina
Seoul	South Korea
Singapore	Singapore
Skopje	Republic of Macedonia
Sofia	Bulgaria
Sri Jayawardenepura Kotte (official) Colombo (former capital; has some government offices)	Sri Lanka
St. George's	Grenada
St. Helier	Jersey
St. John's	Antigua and Barbuda
St. Peter Port	Guernsey
St. Pierre	Saint Pierre and Miquelon
Stanley	Falkland Islands
Stepanakert	Artsakh
Stockholm	Sweden
Sucre (constitutional) La Paz (administrative)	Bolivia
Sukhumi	Abkhazia
Suva	Fiji
São Tomé	São Tomé and Príncipe
Taipei	Taiwan
Tallinn	Estonia
Tarawa	Kiribati
Tashkent	Uzbekistan
Tbilisi (official) Kutaisi (legislative)	Georgia
Tegucigalpa	Honduras
Tehran	Iran
The Valley	Anguilla
Thimphu	Bhutan
Tirana	Albania
Tiraspol	Transnistria
Tokyo	Japan
Tripoli	Libya
Tskhinvali	South Ossetia
Tunis	Tunisia
Tórshavn	Faroe Islands
Ulaanbaatar	Mongolia
Vaduz	Liechtenstein
Valletta	Malta
Vatican City	Vatican City
Victoria	Seychelles
Vienna	Austria
Vientiane	Laos
Vilnius	Lithuania
Warsaw	Poland
Washington, D.C.	United States
Wellington	New Zealand
West Island	Cocos (Keeling) Islands
Willemstad	Curaçao
Windhoek	Namibia
Yamoussoukro (official) Abidjan (former capital; still has many government offices)	Côte d'Ivoire
Yaoundé	Cameroon
Yaren (de facto)	Nauru
Yerevan	Armenia
Zagreb	Croatia